S.no,Movie Title,Genre,Budget (Cr),Director Success Rate,Lead Actor Success Rate,IMDb,Trailer Views (M),Box Office Revenue
1,Aadavallu Meeku Johaarlu,Romance,20.0,71.42,51.72,5.8,9.5,7.72
2,Ala Modalaindi,Romance,4.0,66.6,65.0,7.6,0.97,15.0
3,Ammammagarillu,Romance,1.5,0.0,23.0,5.3,0.221,21.5
4,Anni Manchi Sakunamule,Romance,12.0,66.6,22.22,6.1,3.7,4.45
5,Appudo Ippudo Eppudo,Romance,15.0,75.0,55.0,4.7,3.5,0.7
6,Arya 2,Romance,21.0,80.0,52.63,7.5,58,25.0
7,Ashoka Vanamlo Arjuna Kalyanam,Romance,10.0,66.66,30.0,7.4,3.2,9.0
8,Baby,Romance,10.0,80.0,33.3,7.1,22,80.0
9,Chal Mohan Ranga,Romance,25.0,33.33,29.0,5.9,10,8.5
10,Chitralahari,Romance,25.0,71.42,56.25,7.1,5.8,26.05
11,Color Photo,Romance,1.0,100.0,60.0,8.1,5.9,2.62
12,Dear Comrade,Romance,5.0,100.0,46.15,7.3,18,37.33
13,Desamuduru,Romance,10.0,47.05,52.63,6.2,1.1,36.0
14,DJ Tillu,Romance,5.0,25.0,85.71,7.2,15,125.0
15,Endukante... Premanta,Romance,26.0,50.0,33.0,6.0,0.078,129.0
16,Hello Guru Prema Kosame,Romance,25.0,62.5,33.0,7.1,9.3,36.0
17,Hello!,Romance,14.0,55.55,40.0,7.3,13,17.82
18,Hi Nanna,Romance,70.0,100.0,65.0,8.2,2.8,74.57
19,Ishq,Romance,8.0,55.55,29.0,7.4,4.9,20.0
20,Kandireega,Romance,15.0,33.34,33.0,6.2,0.06,30.0
21,Kotha Bangaru Lokam,Romance,3.5,50.0,16.0,6.8,15,8.0
22,Kumari 21F,Romance,10.5,100.0,42.85,7.6,0.426,21.0
23,Majili,Romance,5.0,60.0,52.0,7.3,10,68.05
24,Majnu,Romance,1.7,100.0,65.0,6.4,0.016,2.18
25,Malli Malli Idi Rani Roju,Romance,15.0,50.0,51.72,7.4,0.07,26.2
26,Manmadhudu 2,Romance,30.0,50.0,80.0,4.8,8.4,1.0
27,Mehbooba,Romance,22.0,47.05,25.0,4.6,5.9,3.0
28,Miss You,Romance,12.0,33.33,44.0,6.2,1,3.41
29,Month of Madhu,Romance,1.5,80.0,55.55,6.8,3.3,2.5
30,Most Eligible Bachelor,Romance,30.0,100.0,40.0,6.2,0.755,50.0
31,Nenu Sailaja,Romance,20.0,71.42,33.0,6.9,1.2,35.64
32,Ninu Kori,Romance,25.0,60.0,65.0,7.5,8.3,55.0
33,Padi Padi Leche Manasu,Romance,12.0,60.0,46.2,6.4,6.6,8.0
34,Prema Vimanam,Romance,3.5,100.0,100.0,6.1,0.485,4.5
35,Prince,Romance,4.0,75.0,68.75,4.4,5.5,30.0
36,Radhe Shyam,Romance,200.0,20.0,45.45,5.2,42,140.0
37,Rarandoi Veduka Chudham,Romance,15.0,75.0,52.0,5.6,4.8,50.0
38,Saahasam Swaasaga Saagipo,Romance,25.0,77.27,52.0,6.6,1.1,3.9
39,Sammathame,Romance,5.0,0.0,33.3,5.6,6,4.79
40,Shyam Singha Roy,Romance,50.0,66.66,65.0,7.6,14,65.0
41,Sita Ramam,Romance,25.0,60.0,50.0,8.5,16,100.0
42,The Family Star,Romance,50.0,100.0,46.15,5.4,15,21.49
43,Tholi Prema,Romance,20.0,80.0,50.0,7.2,8.8,45.0
44,Uppena,Romance,14.0,100.0,50.0,6.5,31,105.0
45,Varudu Kaavalenu,Romance,8.6,30.0,50.0,6.4,5.4,6.1
46,Vinaro Bhagyamu Vishnu Katha,Romance,6.67,100.0,44.44,6.7,0.482,17.9
47,World Famous Lover,Romance,23.0,50.0,46.15,6.9,15,8.6
48,Yeto Vellipoyindhi Manasu,Romance,13.0,77.27,65.0,7.3,0.921,130.0
49,Retro,Romance,65.0,76.92,61.4,8.0,23,90.0
50,Arjun Reddy,Romance,5.0,100.0,46.15,7.9,56,51.0
51,Premalu,Romance,3.0,75.0,66.67,7.8,0.714,136.25
52,Choosi Choodangaane,Romance,30.0,50.0,40.17,6.3,0.084,11.78
53,Sapta Sagaradaache Ello: Side B,Romance,10.0,100.0,75.0,8.0,6.3,17.2
54,Atithi Devo Bhava,Romance,10.0,60.0,28.57,5.6,0.278,13.5
55,SR Kalyanamandapam,Romance,4.5,100.0,75.0,5.7,7.5,12.31
56,Manchi Rojulochaie,Romance,3.0,60.0,23.0,4.7,8.2,5.0
57,Shatamanam Bhavati,Romance,8.0,50.0,46.2,7.0,0.58,10.7
58,Srinivasa Kalyanam,Romance,6.0,50.0,65.0,6.1,6,12.9
59,Govindudu Andarivadele,Romance,30.0,51.0,57.14,5.7,0.2,70.0
60,Jaanu,Romance,21.0,33.33,46.2,7.0,9.1,8.54
61,Shaakuntalam,Romance,65.0,38.0,61.0,4.3,5.7,20.0
62,Bubblegum,Romance,1.0,60.0,20.0,6.2,3.8,0.115
63,Bommarillu,Romance,10.0,47.0,38.0,8.2,0.19,66.5
64,Raja Vaaru Rani Gaaru,Romance,1.3,66.66,75.0,7.4,4.9,2.2
65,Bachhala Malli,Romance,3.6,33.33,38.5,8.3,6.5,2.0
66,Ye Maaya Chesave,Romance,10.0,55.0,45.0,7.7,0.195,30.0
67,Krishna Gaadi Veera Prema Gaadha,Romance,14.0,60.0,65.0,7.4,0.897,23.3
68,18 Pages,Romance,16.0,66.7,33.33,7.1,13,25.0
69,Adbhutham,Romance,15.0,100.0,50.0,7.4,8.1,17.2
70,Heart Attack,Romance,15.0,63.6,65.0,5.3,0.973,40.0
71,Mere Husband Ki Biwi,Romance,30.0,33.33,26.7,4.4,23,11.7
72,Nadaaniyan,Romance,60.0,10.0,10.0,2.9,14,6.0
73,Rocky Aur Rani Kii Prem Kahaani,Romance,16.0,85.7,69.77,6.5,53,35.5
74,Kabir Singh,Romance,68.0,100.0,43.0,7.0,110,379.02
75,Sanam Teri Kasam,Romance,18.0,25.0,20.0,7.8,1.5,44.5
76,Dil Dhadakne Do,Romance,55.0,60.0,48.0,7.0,6.3,150.0
