s.no,movie_title,genre,budget_cr,director_success_rate,lead_actor_success_rate,imdb,trailer_views_m,box_office_revenue,revenue_status,director_success_status,actor_success_status,profit_cr,roi_percent,hit_flop
1,Aadavallu Meeku Johaarlu,Romance,20,71.42,51.72,5.8,9.5,7.72,Available,Recorded Success,Recorded Success,-12.28,-61.4,Flop
2,Ala Modalaindi,Romance,4,66.6,65,7.6,0.97,15,Available,Recorded Success,Recorded Success,11,275,Hit
3,Ammammagarillu,Romance,1.5,0,23,5.3,0.221,21.5,Available,No Recorded Success,Recorded Success,20,1333.333333,Hit
4,Anni Manchi Sakunamule,Romance,12,66.6,22.22,6.1,3.7,4.45,Available,Recorded Success,Recorded Success,-7.55,-62.91666667,Flop
5,Appudo Ippudo Eppudo,Romance,15,75,55,4.7,3.5,0.7,Available,Recorded Success,Recorded Success,-14.3,-95.33333333,Flop
6,Arya 2,Romance,21,80,52.63,7.5,58,25,Available,Recorded Success,Recorded Success,4,19.04761905,Hit
7,Ashoka Vanamlo Arjuna Kalyanam,Romance,10,66.66,30,7.4,3.2,9,Available,Recorded Success,Recorded Success,-1,-10,Flop
8,Baby,Romance,10,80,33.3,7.1,22,80,Available,Recorded Success,Recorded Success,70,700,Hit
9,Chal Mohan Ranga,Romance,25,33.33,29,5.9,10,8.5,Available,Recorded Success,Recorded Success,-16.5,-66,Flop
10,Chitralahari,Romance,25,71.42,56.25,7.1,5.8,26.05,Available,Recorded Success,Recorded Success,1.05,4.2,Hit
11,Color Photo,Romance,1,100,60,8.1,5.9,2.62,Available,Recorded Success,Recorded Success,1.62,162,Hit
12,Dear Comrade,Romance,5,100,46.15,7.3,18,37.33,Available,Recorded Success,Recorded Success,32.33,646.6,Hit
13,Desamuduru,Romance,10,47.05,52.63,6.2,1.1,36,Available,Recorded Success,Recorded Success,26,260,Hit
14,DJ Tillu,Romance,5,25,85.71,7.2,15,125,Available,Recorded Success,Recorded Success,120,2400,Hit
15,Endukante... Premanta,Romance,26,50,33,6,0.078,129,Available,Recorded Success,Recorded Success,103,396.1538462,Hit
16,Hello Guru Prema Kosame,Romance,25,62.5,33,7.1,9.3,36,Available,Recorded Success,Recorded Success,11,44,Hit
17,Hello!,Romance,14,55.55,40,7.3,13,17.82,Available,Recorded Success,Recorded Success,3.82,27.28571429,Hit
18,Hi Nanna,Romance,70,100,65,8.2,2.8,74.57,Available,Recorded Success,Recorded Success,4.57,6.528571429,Hit
19,Ishq,Romance,8,55.55,29,7.4,4.9,20,Available,Recorded Success,Recorded Success,12,150,Hit
20,Kandireega,Romance,15,33.34,33,6.2,0.06,30,Available,Recorded Success,Recorded Success,15,100,Hit
21,Kotha Bangaru Lokam,Romance,3.5,50,16,6.8,15,8,Available,Recorded Success,Recorded Success,4.5,128.5714286,Hit
22,Kumari 21F,Romance,10.5,100,42.85,7.6,0.426,21,Available,Recorded Success,Recorded Success,10.5,100,Hit
23,Majili,Romance,5,60,52,7.3,10,68.05,Available,Recorded Success,Recorded Success,63.05,1261,Hit
24,Majnu,Romance,1.7,100,65,6.4,0.016,2.18,Available,Recorded Success,Recorded Success,0.48,28.23529412,Hit
25,Malli Malli Idi Rani Roju,Romance,15,50,51.72,7.4,0.07,26.2,Available,Recorded Success,Recorded Success,11.2,74.66666667,Hit
26,Manmadhudu 2,Romance,30,50,80,4.8,8.4,1,Available,Recorded Success,Recorded Success,-29,-96.66666667,Flop
27,Mehbooba,Romance,22,47.05,25,4.6,5.9,3,Available,Recorded Success,Recorded Success,-19,-86.36363636,Flop
28,Miss You,Romance,12,33.33,44,6.2,1,3.41,Available,Recorded Success,Recorded Success,-8.59,-71.58333333,Flop
29,Month of Madhu,Romance,1.5,80,55.55,6.8,3.3,2.5,Available,Recorded Success,Recorded Success,1,66.66666667,Hit
30,Most Eligible Bachelor,Romance,30,100,40,6.2,0.755,50,Available,Recorded Success,Recorded Success,20,66.66666667,Hit
31,Nenu Sailaja,Romance,20,71.42,33,6.9,1.2,35.64,Available,Recorded Success,Recorded Success,15.64,78.2,Hit
32,Ninu Kori,Romance,25,60,65,7.5,8.3,55,Available,Recorded Success,Recorded Success,30,120,Hit
33,Padi Padi Leche Manasu,Romance,12,60,46.2,6.4,6.6,8,Available,Recorded Success,Recorded Success,-4,-33.33333333,Flop
34,Prema Vimanam,Romance,3.5,100,100,6.1,0.485,4.5,Available,Recorded Success,Recorded Success,1,28.57142857,Hit
35,Prince,Romance,4,75,68.75,4.4,5.5,30,Available,Recorded Success,Recorded Success,26,650,Hit
36,Radhe Shyam,Romance,200,20,45.45,5.2,42,140,Available,Recorded Success,Recorded Success,-60,-30,Flop
37,Rarandoi Veduka Chudham,Romance,15,75,52,5.6,4.8,50,Available,Recorded Success,Recorded Success,35,233.3333333,Hit
38,Saahasam Swaasaga Saagipo,Romance,25,77.27,52,6.6,1.1,3.9,Available,Recorded Success,Recorded Success,-21.1,-84.4,Flop
39,Sammathame,Romance,5,0,33.3,5.6,6,4.79,Available,No Recorded Success,Recorded Success,-0.21,-4.2,Flop
40,Shyam Singha Roy,Romance,50,66.66,65,7.6,14,65,Available,Recorded Success,Recorded Success,15,30,Hit
41,Sita Ramam,Romance,25,60,50,8.5,16,100,Available,Recorded Success,Recorded Success,75,300,Hit
42,The Family Star,Romance,50,100,46.15,5.4,15,21.49,Available,Recorded Success,Recorded Success,-28.51,-57.02,Flop
43,Tholi Prema,Romance,20,80,50,7.2,8.8,45,Available,Recorded Success,Recorded Success,25,125,Hit
44,Uppena,Romance,14,100,50,6.5,31,105,Available,Recorded Success,Recorded Success,91,650,Hit
45,Varudu Kaavalenu,Romance,8.6,30,50,6.4,5.4,6.1,Available,Recorded Success,Recorded Success,-2.5,-29.06976744,Flop
46,Vinaro Bhagyamu Vishnu Katha,Romance,6.67,100,44.44,6.7,0.482,17.9,Available,Recorded Success,Recorded Success,11.23,168.3658171,Hit
47,World Famous Lover,Romance,23,50,46.15,6.9,15,8.6,Available,Recorded Success,Recorded Success,-14.4,-62.60869565,Flop
48,Yeto Vellipoyindhi Manasu,Romance,13,77.27,65,7.3,0.921,130,Available,Recorded Success,Recorded Success,117,900,Hit
49,Retro,Romance,65,76.92,61.4,8,23,90,Available,Recorded Success,Recorded Success,25,38.46153846,Hit
50,Arjun Reddy,Romance,5,100,46.15,7.9,56,51,Available,Recorded Success,Recorded Success,46,920,Hit
51,Premalu,Romance,3,75,66.67,7.8,0.714,136.25,Available,Recorded Success,Recorded Success,133.25,4441.666667,Hit
52,Choosi Choodangaane,Romance,30,50,40.17,6.3,0.084,11.78,Available,Recorded Success,Recorded Success,-18.22,-60.73333333,Flop
53,Sapta Sagaradaache Ello: Side B,Romance,10,100,75,8,6.3,17.2,Available,Recorded Success,Recorded Success,7.2,72,Hit
54,Atithi Devo Bhava,Romance,10,60,28.57,5.6,0.278,13.5,Available,Recorded Success,Recorded Success,3.5,35,Hit
55,SR Kalyanamandapam,Romance,4.5,100,75,5.7,7.5,12.31,Available,Recorded Success,Recorded Success,7.81,173.5555556,Hit
56,Manchi Rojulochaie,Romance,3,60,23,4.7,8.2,5,Available,Recorded Success,Recorded Success,2,66.66666667,Hit
57,Shatamanam Bhavati,Romance,8,50,46.2,7,0.58,10.7,Available,Recorded Success,Recorded Success,2.7,33.75,Hit
58,Srinivasa Kalyanam,Romance,6,50,65,6.1,6,12.9,Available,Recorded Success,Recorded Success,6.9,115,Hit
59,Govindudu Andarivadele,Romance,30,51,57.14,5.7,0.2,70,Available,Recorded Success,Recorded Success,40,133.3333333,Hit
60,Jaanu,Romance,21,33.33,46.2,7,9.1,8.54,Available,Recorded Success,Recorded Success,-12.46,-59.33333333,Flop
61,Shaakuntalam,Romance,65,38,61,4.3,5.7,20,Available,Recorded Success,Recorded Success,-45,-69.23076923,Flop
62,Bubblegum,Romance,1,60,20,6.2,3.8,0.115,Available,Recorded Success,Recorded Success,-0.885,-88.5,Flop
63,Bommarillu,Romance,10,47,38,8.2,0.19,66.5,Available,Recorded Success,Recorded Success,56.5,565,Hit
64,Raja Vaaru Rani Gaaru,Romance,1.3,66.66,75,7.4,4.9,2.2,Available,Recorded Success,Recorded Success,0.9,69.23076923,Hit
65,Bachhala Malli,Romance,3.6,33.33,38.5,8.3,6.5,2,Available,Recorded Success,Recorded Success,-1.6,-44.44444444,Flop
66,Ye Maaya Chesave,Romance,10,55,45,7.7,0.195,30,Available,Recorded Success,Recorded Success,20,200,Hit
67,Krishna Gaadi Veera Prema Gaadha,Romance,14,60,65,7.4,0.897,23.3,Available,Recorded Success,Recorded Success,9.3,66.42857143,Hit
68,18 Pages,Romance,16,66.7,33.33,7.1,13,25,Available,Recorded Success,Recorded Success,9,56.25,Hit
69,Adbhutham,Romance,15,100,50,7.4,8.1,17.2,Available,Recorded Success,Recorded Success,2.2,14.66666667,Hit
70,Heart Attack,Romance,15,63.6,65,5.3,0.973,40,Available,Recorded Success,Recorded Success,25,166.6666667,Hit
71,Mere Husband Ki Biwi,Romance,30,33.33,26.7,4.4,23,11.7,Available,Recorded Success,Recorded Success,-18.3,-61,Flop
72,Nadaaniyan,Romance,60,10,10,2.9,14,6,Available,Recorded Success,Recorded Success,-54,-90,Flop
73,Rocky Aur Rani Kii Prem Kahaani,Romance,16,85.7,69.77,6.5,53,35.5,Available,Recorded Success,Recorded Success,19.5,121.875,Hit
74,Kabir Singh,Romance,68,100,43,7,110,379.02,Available,Recorded Success,Recorded Success,311.02,457.3823529,Hit
75,Sanam Teri Kasam,Romance,18,25,20,7.8,1.5,44.5,Available,Recorded Success,Recorded Success,26.5,147.2222222,Hit
76,Dil Dhadakne Do,Romance,55,60,48,7,6.3,150,Available,Recorded Success,Recorded Success,95,172.7272727,Hit
77,Dilwale,Romance,1.2,75,45,5.1,43,3.2,Available,Recorded Success,Recorded Success,2,166.6666667,Hit
78,Dil Bechara,Romance,38,50,55.6,8.3,97,50,Available,Recorded Success,Recorded Success,12,31.57894737,Hit
79,Do Aur Do Pyaar,Romance,40,25,68,6.4,17,4.63,Available,Recorded Success,Recorded Success,-35.37,-88.425,Flop
80,Tu Jhoothi Main Makkaar,Romance,200,60,60,6,77,210,Available,Recorded Success,Recorded Success,10,5,Hit
81,Haseen Dillruba,Romance,3.9,50,35,6.9,2.5,4.14,Available,Recorded Success,Recorded Success,0.24,6.153846154,Hit
82,The Archies,Romance,45,60,10,4.2,3.2,22,Available,Recorded Success,Recorded Success,-23,-51.11111111,Flop
83,Kho Gaye Hum Kahan,Romance,15,100,40,7.3,0.369,18,Available,Recorded Success,Recorded Success,3,20,Hit
84,Zero,Romance,200,50,45,5.2,125,191.43,Available,Recorded Success,Recorded Success,-8.57,-4.285,Flop
85,Wild Wild Punjab,Romance,16,60,36,6.2,34,72,Available,Recorded Success,Recorded Success,56,350,Hit
86,Shubh Mangal Zyada Saavdhan,Romance,30,100,70,5.8,59,87,Available,Recorded Success,Recorded Success,57,190,Hit
87,Gehraiyaan,Romance,80,66,50,5.8,45,140,Available,Recorded Success,Recorded Success,60,75,Hit
88,Meenakshi Sundareshwar,Romance,4,50,60,6.7,8.6,1,Available,Recorded Success,Recorded Success,-3,-75,Flop
89,Satyaprem Ki Katha,Romance,60,80,50,6.7,42,117.77,Available,Recorded Success,Recorded Success,57.77,96.28333333,Hit
90,Dream Girl 2,Romance,35,67,70,5.2,43,140.56,Available,Recorded Success,Recorded Success,105.56,301.6,Hit
91,Phir Aayi Hasseen Dillruba,Romance,82,100,35,5.8,36,458.69,Available,Recorded Success,Recorded Success,376.69,459.3780488,Hit
92,Govinda Naam Mera,Romance,70,100,40,6.5,9.1,62,Available,Recorded Success,Recorded Success,-8,-11.42857143,Flop
